PASS
ok  	github.com/blinklabs-io/plutigo/builtin	0.016s
goos: linux
goarch: arm64
pkg: github.com/blinklabs-io/plutigo/cek
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3180	   1727872 ns/op
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3193	   1733107 ns/op
BenchmarkFlatFiles/crowdfunding-success-1-128         	    3093	   1706125 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    3127	   1766841 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    3846	   1719434 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    3206	   1709305 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    2947	   1770708 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    3975	   1713306 ns/op
BenchmarkFlatFiles/crowdfunding-success-2-128         	    3158	   1691747 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    4056	   1714066 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    3012	   1716451 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    3249	   1783401 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    3200	   1792174 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    2952	   1730607 ns/op
BenchmarkFlatFiles/crowdfunding-success-3-128         	    3030	   1815960 ns/op
BenchmarkFlatFiles/currency-1-128                     	    3865	   1739911 ns/op
BenchmarkFlatFiles/currency-1-128                     	    3058	   1750956 ns/op
BenchmarkFlatFiles/currency-1-128                     	    3597	   1702253 ns/op
BenchmarkFlatFiles/currency-1-128                     	    3061	   1695123 ns/op
BenchmarkFlatFiles/currency-1-128                     	    3072	   1674812 ns/op
BenchmarkFlatFiles/currency-1-128                     	    2995	   1763753 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    2906	   2206120 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    2256	   2390245 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    3022	   2256916 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    2474	   2373645 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    2188	   2355925 ns/op
BenchmarkFlatFiles/escrow-redeem_1-1-128              	    2168	   2361823 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2362	   2337098 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2700	   2285618 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2348	   2339505 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2239	   2260334 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2146	   2371244 ns/op
BenchmarkFlatFiles/escrow-redeem_1-2-128              	    2349	   2349750 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2425	   2532189 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2181	   2567879 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2083	   2594708 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2140	   2497468 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2229	   2676275 ns/op
BenchmarkFlatFiles/escrow-redeem_2-1-128              	    2397	   2552479 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    2065	   2518378 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    1989	   2563204 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    2595	   2597253 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    2016	   2670364 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    2040	   2516175 ns/op
BenchmarkFlatFiles/escrow-redeem_2-2-128              	    1972	   2544893 ns/op
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    1994	   2637432 ns/op
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    2426	   2503900 ns/op
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    2235	   2622865 ns/op
BenchmarkFlatFiles/escrow-redeem_2-3-128              	    2313	   2639541 ns/op
